2022/07/13 11:08:47 [error] 7788#7288: *3280 WSARecv() failed (10054: FormatMessage() error:(15100)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /?wp_scrape_key=6de6532446255bd3aec7bb7f79e989cf&wp_scrape_nonce=1086450825 HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "holamundo.local", referrer: "http://holamundo.local/?wp_scrape_key=6de6532446255bd3aec7bb7f79e989cf&wp_scrape_nonce=1086450825"
2022/07/13 11:08:47 [error] 7788#7288: *3276 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "holamundo.local", referrer: "http://holamundo.local/wp-admin/theme-editor.php?file=header.php&theme=hello-elementor"
2022/07/14 11:42:39 [error] 1624#8136: *10278 WSARecv() failed (10054: FormatMessage() error:(15100)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/users?context=view&who=authors&per_page=50&_fields=id%2Cname&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "holamundo.local", referrer: "http://holamundo.local/wp-admin/post.php?post=128&action=edit"
2022/07/14 11:42:39 [error] 1624#8136: *10284 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/templates?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "holamundo.local", referrer: "http://holamundo.local/wp-admin/post.php?post=128&action=edit"
2022/07/14 11:42:39 [error] 1624#8136: *10276 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/?_fields=description%2Cgmt_offset%2Chome%2Cname%2Csite_icon%2Csite_icon_url%2Csite_logo%2Ctimezone_string%2Curl&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "holamundo.local", referrer: "http://holamundo.local/wp-admin/post.php?post=128&action=edit"
2022/07/14 11:42:39 [error] 1624#8136: *10276 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/?_fields=description%2Cgmt_offset%2Chome%2Cname%2Csite_icon%2Csite_icon_url%2Csite_logo%2Ctimezone_string%2Curl&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "holamundo.local", referrer: "http://holamundo.local/wp-admin/post.php?post=128&action=edit"
2022/07/14 11:42:39 [error] 1624#8136: *10286 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&per_page=100&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "holamundo.local", referrer: "http://holamundo.local/wp-admin/post.php?post=128&action=edit"
2022/07/14 11:42:39 [error] 1624#8136: *10286 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&per_page=100&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "holamundo.local", referrer: "http://holamundo.local/wp-admin/post.php?post=128&action=edit"
2022/07/14 11:42:39 [error] 1624#8136: *10282 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/templates?context=edit&post_type=page&per_page=100&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "holamundo.local", referrer: "http://holamundo.local/wp-admin/post.php?post=128&action=edit"
2022/07/14 11:42:39 [error] 1624#8136: *10282 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/templates?context=edit&post_type=page&per_page=100&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "holamundo.local", referrer: "http://holamundo.local/wp-admin/post.php?post=128&action=edit"
2022/07/14 11:42:39 [error] 1624#8136: *10278 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/users?context=view&who=authors&per_page=50&_fields=id%2Cname&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "holamundo.local", referrer: "http://holamundo.local/wp-admin/post.php?post=128&action=edit"
